ID,Gene Name,Species,
ENSG00000173786,"2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)",Homo sapiens,
ENSG00000116984,5-methyltetrahydrofolate-homocysteine methyltransferase(MTR),Homo sapiens,
ENSG00000108798,ABI family member 3(ABI3),Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)",Homo sapiens,
ENSG00000151694,ADAM metallopeptidase domain 17(ADAM17),Homo sapiens,
ENSG00000178031,ADAMTS like 1(ADAMTSL1),Homo sapiens,
ENSG00000168374,ADP ribosylation factor 4(ARF4),Homo sapiens,
ENSG00000165527,ADP ribosylation factor 6(ARF6),Homo sapiens,
ENSG00000138175,ADP ribosylation factor like GTPase 3(ARL3),Homo sapiens,
ENSG00000141385,AFG3 like matrix AAA peptidase subunit 2(AFG3L2),Homo sapiens,
ENSG00000186094,AGBL carboxypeptidase 4(AGBL4),Homo sapiens,
ENSG00000196711,ALK and LTK ligand 1(ALKAL1),Homo sapiens,
ENSG00000189292,ALK and LTK ligand 2(ALKAL2),Homo sapiens,
ENSG00000171094,ALK receptor tyrosine kinase(ALK),Homo sapiens,
ENSG00000167654,ATCAY kinesin light chain interacting caytaxin(ATCAY),Homo sapiens,
ENSG00000135049,ATP/GTP binding carboxypeptidase 1(AGTPBP1),Homo sapiens,
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens,
ENSG00000165240,ATPase copper transporting alpha(ATP7A),Homo sapiens,
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens,
ENSG00000081923,ATPase phospholipid transporting 8B1(ATP8B1),Homo sapiens,
ENSG00000054793,ATPase phospholipid transporting 9A (putative)(ATP9A),Homo sapiens,
ENSG00000135541,Abelson helper integration site 1(AHI1),Homo sapiens,
ENSG00000153317,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)",Homo sapiens,
ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase(BRAF)",Homo sapiens,
ENSG00000166170,BAG cochaperone 5(BAG5),Homo sapiens,
ENSG00000175866,BAR/IMD domain containing adaptor protein 2(BAIAP2),Homo sapiens,
ENSG00000119866,BCL11 transcription factor A(BCL11A),Homo sapiens,
ENSG00000127152,BCL11 transcription factor B(BCL11B),Homo sapiens,
ENSG00000171791,BCL2 apoptosis regulator(BCL2),Homo sapiens,
ENSG00000135127,BICD family like cargo adaptor 1(BICDL1),Homo sapiens,
ENSG00000136573,"BLK proto-oncogene, Src family tyrosine kinase(BLK)",Homo sapiens,
ENSG00000078725,BMP/retinoic acid inducible neural specific 1(BRINP1),Homo sapiens,
ENSG00000144857,"BOC cell adhesion associated, oncogene regulated(BOC)",Homo sapiens,
ENSG00000160469,BR serine/threonine kinase 1(BRSK1),Homo sapiens,
ENSG00000174672,BR serine/threonine kinase 2(BRSK2),Homo sapiens,
ENSG00000132640,BTB domain containing 3(BTBD3),Homo sapiens,
ENSG00000159388,BTG anti-proliferation factor 2(BTG2),Homo sapiens,
ENSG00000143032,BarH like homeobox 2(BARHL2),Homo sapiens,
ENSG00000174483,Bardet-Biedl syndrome 1(BBS1),Homo sapiens,
ENSG00000140463,Bardet-Biedl syndrome 4(BBS4),Homo sapiens,
ENSG00000107562,C-X-C motif chemokine ligand 12(CXCL12),Homo sapiens,
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens,
ENSG00000006210,C-X3-C motif chemokine ligand 1(CX3CL1),Homo sapiens,
ENSG00000147894,C9orf72-SMCR8 complex subunit(C9orf72),Homo sapiens,
ENSG00000003402,CASP8 and FADD like apoptosis regulator(CFLAR),Homo sapiens,
ENSG00000078699,CBFA2/RUNX1 partner transcriptional co-repressor 2(CBFA2T2),Homo sapiens,
ENSG00000198851,CD3 epsilon subunit of T-cell receptor complex(CD3E),Homo sapiens,
ENSG00000004468,CD38 molecule(CD38),Homo sapiens,
ENSG00000214960,CDP-L-ribitol pyrophosphorylase A(CRPPA),Homo sapiens,
ENSG00000099954,CECR2 histone acetyl-lysine reader(CECR2),Homo sapiens,
ENSG00000102805,CLN5 intracellular trafficking protein(CLN5),Homo sapiens,
ENSG00000105662,CREB regulated transcription coactivator 1(CRTC1),Homo sapiens,
ENSG00000099942,"CRK like proto-oncogene, adaptor protein(CRKL)",Homo sapiens,
ENSG00000167193,"CRK proto-oncogene, adaptor protein(CRK)",Homo sapiens,
ENSG00000164796,CUB and Sushi multiple domains 3(CSMD3),Homo sapiens,
ENSG00000173406,DAB adaptor protein 1(DAB1),Homo sapiens,
ENSG00000153071,DAB adaptor protein 2(DAB2),Homo sapiens,
ENSG00000136848,DAB2 interacting protein(DAB2IP),Homo sapiens,
ENSG00000187323,DCC netrin 1 receptor(DCC),Homo sapiens,
ENSG00000136271,DEAD-box helicase 56(DDX56),Homo sapiens,
