ID,Gene Name,Species,
ENSG00000140992,3-phosphoinositide dependent protein kinase 1(PDPK1),Homo sapiens,
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens,
ENSG00000178394,5-hydroxytryptamine receptor 1A(HTR1A),Homo sapiens,
ENSG00000135312,5-hydroxytryptamine receptor 1B(HTR1B),Homo sapiens,
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens,
ENSG00000179841,A-kinase anchoring protein 5(AKAP5),Homo sapiens,
ENSG00000151320,A-kinase anchoring protein 6(AKAP6),Homo sapiens,
ENSG00000118507,A-kinase anchoring protein 7(AKAP7),Homo sapiens,
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens,
ENSG00000273154,A0A087WT57_HUMAN,Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000078549,ADCYAP receptor type I(ADCYAP1R1),Homo sapiens,
ENSG00000170540,ADP ribosylation factor like GTPase 6 interacting protein 1(ARL6IP1),Homo sapiens,
ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5),Homo sapiens,
ENSG00000124942,AHNAK nucleoprotein(AHNAK),Homo sapiens,
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens,
ENSG00000105221,AKT serine/threonine kinase 2(AKT2),Homo sapiens,
ENSG00000175548,"ALG10 alpha-1,2-glucosyltransferase B(ALG10B)",Homo sapiens,
ENSG00000167972,ATP binding cassette subfamily A member 3(ABCA3),Homo sapiens,
ENSG00000064687,ATP binding cassette subfamily A member 7(ABCA7),Homo sapiens,
ENSG00000085563,ATP binding cassette subfamily B member 1(ABCB1),Homo sapiens,
ENSG00000005471,ATP binding cassette subfamily B member 4(ABCB4),Homo sapiens,
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens,
ENSG00000150756,ATP synthase c subunit lysine N-methyltransferase(ATPSCKMT),Homo sapiens,
ENSG00000105675,ATPase H+/K+ transporting subunit alpha(ATP4A),Homo sapiens,
ENSG00000163399,ATPase Na+/K+ transporting subunit alpha 1(ATP1A1),Homo sapiens,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1),Homo sapiens,
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens,
ENSG00000069849,ATPase Na+/K+ transporting subunit beta 3(ATP1B3),Homo sapiens,
ENSG00000165240,ATPase copper transporting alpha(ATP7A),Homo sapiens,
ENSG00000124406,ATPase phospholipid transporting 8A1(ATP8A1),Homo sapiens,
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens,
ENSG00000081923,ATPase phospholipid transporting 8B1(ATP8B1),Homo sapiens,
ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1(ATP2B1),Homo sapiens,
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4(ATP2B4),Homo sapiens,
ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1),Homo sapiens,
ENSG00000064270,ATPase secretory pathway Ca2+ transporting 2(ATP2C2),Homo sapiens,
ENSG00000171791,BCL2 apoptosis regulator(BCL2),Homo sapiens,
ENSG00000087088,"BCL2 associated X, apoptosis regulator(BAX)",Homo sapiens,
ENSG00000198183,BPI fold containing family A member 1(BPIFA1),Homo sapiens,
ENSG00000108691,C-C motif chemokine ligand 2(CCL2),Homo sapiens,
ENSG00000163823,C-C motif chemokine receptor 1(CCR1),Homo sapiens,
ENSG00000121807,C-C motif chemokine receptor 2(CCR2),Homo sapiens,
ENSG00000169245,C-X-C motif chemokine ligand 10(CXCL10),Homo sapiens,
ENSG00000169248,C-X-C motif chemokine ligand 11(CXCL11),Homo sapiens,
ENSG00000107562,C-X-C motif chemokine ligand 12(CXCL12),Homo sapiens,
ENSG00000138755,C-X-C motif chemokine ligand 9(CXCL9),Homo sapiens,
ENSG00000186810,C-X-C motif chemokine receptor 3(CXCR3),Homo sapiens,
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens,
ENSG00000006210,C-X3-C motif chemokine ligand 1(CX3CL1),Homo sapiens,
ENSG00000099625,CACN subunit beta associated regulatory protein(CBARP),Homo sapiens,
ENSG00000172216,CCAAT enhancer binding protein beta(CEBPB),Homo sapiens,
ENSG00000177455,CD19 molecule(CD19),Homo sapiens,
ENSG00000105383,CD33 molecule(CD33),Homo sapiens,
ENSG00000010610,CD4 molecule(CD4),Homo sapiens,
ENSG00000135404,CD63 molecule(CD63),Homo sapiens,
ENSG00000066294,CD84 molecule(CD84),Homo sapiens,
ENSG00000001626,CF transmembrane conductance regulator(CFTR),Homo sapiens,
ENSG00000166664,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion(CHRFAM7A),Homo sapiens,
ENSG00000153721,CNKSR family member 3(CNKSR3),Homo sapiens,
ENSG00000104936,DM1 protein kinase(DMPK),Homo sapiens,
ENSG00000176410,DnaJ heat shock protein family (Hsp40) member C30(DNAJC30),Homo sapiens,
ENSG00000163576,EF-hand domain family member B(EFHB),Homo sapiens,
ENSG00000013016,EH domain containing 3(EHD3),Homo sapiens,
ENSG00000133216,EPH receptor B2(EPHB2),Homo sapiens,
ENSG00000127533,F2R like thrombin or trypsin receptor 3(F2RL3),Homo sapiens,
ENSG00000088832,FKBP prolyl isomerase 1A(FKBP1A),Homo sapiens,
ENSG00000119782,FKBP prolyl isomerase 1B(FKBP1B),Homo sapiens,
ENSG00000198225,FKBP prolyl isomerase family member 1C(FKBP1C),Homo sapiens,
ENSG00000266964,FXYD domain containing ion transport regulator 1(FXYD1),Homo sapiens,
ENSG00000137731,FXYD domain containing ion transport regulator 2(FXYD2),Homo sapiens,
ENSG00000089356,FXYD domain containing ion transport regulator 3(FXYD3),Homo sapiens,
ENSG00000150201,FXYD domain containing ion transport regulator 4(FXYD4),Homo sapiens,
ENSG00000089327,FXYD domain containing ion transport regulator 5(FXYD5),Homo sapiens,
ENSG00000137726,FXYD domain containing ion transport regulator 6(FXYD6),Homo sapiens,
ENSG00000221946,FXYD domain containing ion transport regulator 7(FXYD7),Homo sapiens,
ENSG00000255245,FXYD6-FXYD2 readthrough(FXYD6-FXYD2),Homo sapiens,
ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase(FYN)",Homo sapiens,
ENSG00000160856,Fc receptor like 3(FCRL3),Homo sapiens,
ENSG00000169258,G protein regulated inducer of neurite outgrowth 1(GPRIN1),Homo sapiens,
ENSG00000114353,G protein subunit alpha i2(GNAI2),Homo sapiens,
ENSG00000172354,G protein subunit beta 2(GNB2),Homo sapiens,
ENSG00000069966,G protein subunit beta 5(GNB5),Homo sapiens,
ENSG00000164850,G protein-coupled estrogen receptor 1(GPER1),Homo sapiens,
ENSG00000178623,G protein-coupled receptor 35(GPR35),Homo sapiens,
ENSG00000117262,G protein-coupled receptor 89A(GPR89A),Homo sapiens,
ENSG00000188092,G protein-coupled receptor 89B(GPR89B),Homo sapiens,
ENSG00000175318,GRAM domain containing 2A(GRAMD2A),Homo sapiens,
ENSG00000169181,GSG1 like(GSG1L),Homo sapiens,
ENSG00000164949,GTP binding protein overexpressed in skeletal muscle(GEM),Homo sapiens,
ENSG00000002746,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1(HECW1)",Homo sapiens,
ENSG00000138411,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2(HECW2)",Homo sapiens,
ENSG00000105639,Janus kinase 3(JAK3),Homo sapiens,
ENSG00000197993,Kell metallo-endopeptidase (Kell blood group)(KEL),Homo sapiens,
ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase(LYN)",Homo sapiens,
ENSG00000203896,Lck interacting transmembrane adaptor 1(LIME1),Homo sapiens,
ENSG00000268193,M0R1B8_HUMAN,Homo sapiens,
ENSG00000007952,NADPH oxidase 1(NOX1),Homo sapiens,
ENSG00000189043,NDUFA4 mitochondrial complex associated(NDUFA4),Homo sapiens,
ENSG00000069869,NEDD4 E3 ubiquitin protein ligase(NEDD4),Homo sapiens,
ENSG00000049759,NEDD4 like E3 ubiquitin protein ligase(NEDD4L),Homo sapiens,
ENSG00000109062,NHERF family PDZ scaffold protein 1(NHERF1),Homo sapiens,
ENSG00000183072,NK2 homeobox 5(NKX2-5),Homo sapiens,
ENSG00000174827,PDZ domain containing 1(PDZK1),Homo sapiens,
ENSG00000140464,PML nuclear body scaffold(PML),Homo sapiens,
ENSG00000169230,PRELI domain containing 1(PRELID1),Homo sapiens,
ENSG00000158828,PTEN induced kinase 1(PINK1),Homo sapiens,
ENSG00000168297,PX domain containing serine/threonine kinase like(PXK),Homo sapiens,
ENSG00000116288,Parkinsonism associated deglycase(PARK7),Homo sapiens,
ENSG00000185236,"RAB11B, member RAS oncogene family(RAB11B)",Homo sapiens,
ENSG00000115839,RAB3 GTPase activating protein catalytic subunit 1(RAB3GAP1),Homo sapiens,
ENSG00000105649,"RAB3A, member RAS oncogene family(RAB3A)",Homo sapiens,
ENSG00000169213,"RAB3B, member RAS oncogene family(RAB3B)",Homo sapiens,
ENSG00000108961,RAN guanine nucleotide release factor(RANGRF),Homo sapiens,
ENSG00000047936,"ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)",Homo sapiens,
ENSG00000088320,RRAD and GEM like GTPase 1(REM1),Homo sapiens,
ENSG00000139890,RRAD and GEM like GTPase 2(REM2),Homo sapiens,
ENSG00000166592,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator(RRAD)",Homo sapiens,
ENSG00000058335,Ras protein specific guanine nucleotide releasing factor 1(RASGRF1),Homo sapiens,
ENSG00000113319,Ras protein specific guanine nucleotide releasing factor 2(RASGRF2),Homo sapiens,
ENSG00000187231,SEC14 and spectrin domain containing 1(SESTD1),Homo sapiens,
ENSG00000141750,SH3 and cysteine rich domain 2(STAC2),Homo sapiens,
ENSG00000185482,SH3 and cysteine rich domain 3(STAC3),Homo sapiens,
ENSG00000144681,SH3 and cysteine rich domain(STAC),Homo sapiens,
ENSG00000161681,SH3 and multiple ankyrin repeat domains 1(SHANK1),Homo sapiens,
ENSG00000251322,SH3 and multiple ankyrin repeat domains 3(SHANK3),Homo sapiens,
ENSG00000104133,"SPG11 vesicle trafficking associated, spatacsin(SPG11)",Homo sapiens,
ENSG00000213533,STIM activating enhancer(STIMATE),Homo sapiens,
ENSG00000110719,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3(TCIRG1)",Homo sapiens,
ENSG00000115970,THADA armadillo repeat containing(THADA),Homo sapiens,
ENSG00000141655,TNF receptor superfamily member 11a(TNFRSF11A),Homo sapiens,
ENSG00000120659,TNF superfamily member 11(TNFSF11),Homo sapiens,
ENSG00000170855,TP53 regulated inhibitor of apoptosis 1(TRIAP1),Homo sapiens,
ENSG00000198420,TRPM8 channel associated factor 1(TCAF1),Homo sapiens,
ENSG00000170379,TRPM8 channel associated factor 2(TCAF2),Homo sapiens,
ENSG00000154096,Thy-1 cell surface antigen(THY1),Homo sapiens,
ENSG00000273047,V9GYV3_HUMAN,Homo sapiens,
ENSG00000071127,WD repeat domain 1(WDR1),Homo sapiens,
ENSG00000060237,WNK lysine deficient protein kinase 1(WNK1),Homo sapiens,
ENSG00000165238,WNK lysine deficient protein kinase 2(WNK2),Homo sapiens,
ENSG00000196632,WNK lysine deficient protein kinase 3(WNK3),Homo sapiens,
ENSG00000126562,WNK lysine deficient protein kinase 4(WNK4),Homo sapiens,
ENSG00000198373,WW domain containing E3 ubiquitin protein ligase 2(WWP2),Homo sapiens,
ENSG00000143184,X-C motif chemokine ligand 1(XCL1),Homo sapiens,
ENSG00000108684,acid sensing ion channel subunit 2(ASIC2),Homo sapiens,
ENSG00000077522,actinin alpha 2(ACTN2),Homo sapiens,
ENSG00000130402,actinin alpha 4(ACTN4),Homo sapiens,
ENSG00000128272,activating transcription factor 4(ATF4),Homo sapiens,
ENSG00000198576,activity regulated cytoskeleton associated protein(ARC),Homo sapiens,
ENSG00000151726,acyl-CoA synthetase long chain family member 1(ACSL1),Homo sapiens,
ENSG00000068366,acyl-CoA synthetase long chain family member 4(ACSL4),Homo sapiens,
ENSG00000197142,acyl-CoA synthetase long chain family member 5(ACSL5),Homo sapiens,
ENSG00000103254,adenine nucleotide translocase lysine methyltransferase(ANTKMT),Homo sapiens,
ENSG00000163485,adenosine A1 receptor(ADORA1),Homo sapiens,
ENSG00000128271,adenosine A2a receptor(ADORA2A),Homo sapiens,
ENSG00000168710,adenosylhomocysteinase like 1(AHCYL1),Homo sapiens,
ENSG00000143199,adenylate cyclase 10(ADCY10),Homo sapiens,
ENSG00000181754,adhesion molecule with Ig like domain 1(AMIGO1),Homo sapiens,
ENSG00000150594,adrenoceptor alpha 2A(ADRA2A),Homo sapiens,
ENSG00000169252,adrenoceptor beta 2(ADRB2),Homo sapiens,
ENSG00000142192,amyloid beta precursor protein(APP),Homo sapiens,
ENSG00000159640,angiotensin I converting enzyme(ACE),Homo sapiens,
ENSG00000130234,angiotensin converting enzyme 2(ACE2),Homo sapiens,
ENSG00000135744,angiotensinogen(AGT),Homo sapiens,
ENSG00000145362,ankyrin 2(ANK2),Homo sapiens,
ENSG00000151150,ankyrin 3(ANK3),Homo sapiens,
ENSG00000177119,anoctamin 6(ANO6),Homo sapiens,
ENSG00000185101,anoctamin 9(ANO9),Homo sapiens,
ENSG00000134817,apelin receptor(APLNR),Homo sapiens,
ENSG00000118137,apolipoprotein A1(APOA1),Homo sapiens,
ENSG00000130203,apolipoprotein E(APOE),Homo sapiens,
ENSG00000118520,arginase 1(ARG1),Homo sapiens,
ENSG00000166148,arginine vasopressin receptor 1A(AVPR1A),Homo sapiens,
ENSG00000198049,arginine vasopressin receptor 1B(AVPR1B),Homo sapiens,
ENSG00000101200,arginine vasopressin(AVP),Homo sapiens,
ENSG00000141480,arrestin beta 2(ARRB2),Homo sapiens,
ENSG00000198363,aspartate beta-hydroxylase(ASPH),Homo sapiens,
ENSG00000057663,autophagy related 5(ATG5),Homo sapiens,
ENSG00000167995,bestrophin 1(BEST1),Homo sapiens,
ENSG00000127325,bestrophin 3(BEST3),Homo sapiens,
ENSG00000166710,beta-2-microglobulin(B2M),Homo sapiens,
ENSG00000100739,bradykinin receptor B1(BDKRB1),Homo sapiens,
ENSG00000136717,bridging integrator 1(BIN1),Homo sapiens,
ENSG00000107175,cAMP responsive element binding protein 3(CREB3),Homo sapiens,
ENSG00000187446,calcineurin like EF-hand protein 1(CHP1),Homo sapiens,
ENSG00000166869,calcineurin like EF-hand protein 2(CHP2),Homo sapiens,
ENSG00000004948,calcitonin receptor(CALCR),Homo sapiens,
ENSG00000110680,calcitonin related polypeptide alpha(CALCA),Homo sapiens,
ENSG00000157782,calcium binding protein 1(CABP1),Homo sapiens,
ENSG00000167791,calcium binding protein 2(CABP2),Homo sapiens,
ENSG00000135932,calcium binding protein 39(CAB39),Homo sapiens,
ENSG00000175544,calcium binding protein 4(CABP4),Homo sapiens,
ENSG00000105507,calcium binding protein 5(CABP5),Homo sapiens,
ENSG00000185933,calcium homeostasis modulator 1(CALHM1),Homo sapiens,
ENSG00000130038,calcium release activated channel regulator 2A(CRACR2A),Homo sapiens,
ENSG00000177685,calcium release activated channel regulator 2B(CRACR2B),Homo sapiens,
ENSG00000036828,calcium sensing receptor(CASR),Homo sapiens,
ENSG00000153956,calcium voltage-gated channel auxiliary subunit alpha2delta 1(CACNA2D1),Homo sapiens,
ENSG00000007402,calcium voltage-gated channel auxiliary subunit alpha2delta 2(CACNA2D2),Homo sapiens,
ENSG00000157445,calcium voltage-gated channel auxiliary subunit alpha2delta 3(CACNA2D3),Homo sapiens,
ENSG00000151062,calcium voltage-gated channel auxiliary subunit alpha2delta 4(CACNA2D4),Homo sapiens,
ENSG00000067191,calcium voltage-gated channel auxiliary subunit beta 1(CACNB1),Homo sapiens,
ENSG00000165995,calcium voltage-gated channel auxiliary subunit beta 2(CACNB2),Homo sapiens,
ENSG00000167535,calcium voltage-gated channel auxiliary subunit beta 3(CACNB3),Homo sapiens,
