ID,Gene Name,Species,
ENSG00000140992,3-phosphoinositide dependent protein kinase 1(PDPK1),Homo sapiens,
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens,
ENSG00000135914,5-hydroxytryptamine receptor 2B(HTR2B),Homo sapiens,
ENSG00000147246,5-hydroxytryptamine receptor 2C(HTR2C),Homo sapiens,
ENSG00000179841,A-kinase anchoring protein 5(AKAP5),Homo sapiens,
ENSG00000151320,A-kinase anchoring protein 6(AKAP6),Homo sapiens,
ENSG00000118507,A-kinase anchoring protein 7(AKAP7),Homo sapiens,
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens,
ENSG00000273154,A0A087WT57_HUMAN,Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000078549,ADCYAP receptor type I(ADCYAP1R1),Homo sapiens,
ENSG00000141385,AFG3 like matrix AAA peptidase subunit 2(AFG3L2),Homo sapiens,
ENSG00000124942,AHNAK nucleoprotein(AHNAK),Homo sapiens,
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens,
ENSG00000175548,"ALG10 alpha-1,2-glucosyltransferase B(ALG10B)",Homo sapiens,
ENSG00000131269,ATP binding cassette subfamily B member 7(ABCB7),Homo sapiens,
ENSG00000197150,ATP binding cassette subfamily B member 8(ABCB8),Homo sapiens,
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens,
ENSG00000069431,ATP binding cassette subfamily C member 9(ABCC9),Homo sapiens,
ENSG00000105726,ATPase 13A1(ATP13A1),Homo sapiens,
ENSG00000116039,ATPase H+ transporting V1 subunit B1(ATP6V1B1),Homo sapiens,
ENSG00000075673,ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A),Homo sapiens,
ENSG00000105675,ATPase H+/K+ transporting subunit alpha(ATP4A),Homo sapiens,
ENSG00000186009,ATPase H+/K+ transporting subunit beta(ATP4B),Homo sapiens,
ENSG00000101892,ATPase Na+/K+ transporting family member beta 4(ATP1B4),Homo sapiens,
ENSG00000163399,ATPase Na+/K+ transporting subunit alpha 1(ATP1A1),Homo sapiens,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,
ENSG00000105409,ATPase Na+/K+ transporting subunit alpha 3(ATP1A3),Homo sapiens,
ENSG00000132681,ATPase Na+/K+ transporting subunit alpha 4(ATP1A4),Homo sapiens,
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1),Homo sapiens,
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens,
ENSG00000069849,ATPase Na+/K+ transporting subunit beta 3(ATP1B3),Homo sapiens,
ENSG00000165240,ATPase copper transporting alpha(ATP7A),Homo sapiens,
ENSG00000123191,ATPase copper transporting beta(ATP7B),Homo sapiens,
ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1(ATP2B1),Homo sapiens,
ENSG00000157087,ATPase plasma membrane Ca2+ transporting 2(ATP2B2),Homo sapiens,
ENSG00000067842,ATPase plasma membrane Ca2+ transporting 3(ATP2B3),Homo sapiens,
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4(ATP2B4),Homo sapiens,
ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1),Homo sapiens,
ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2),Homo sapiens,
ENSG00000074370,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3),Homo sapiens,
ENSG00000017260,ATPase secretory pathway Ca2+ transporting 1(ATP2C1),Homo sapiens,
ENSG00000064270,ATPase secretory pathway Ca2+ transporting 2(ATP2C2),Homo sapiens,
ENSG00000119411,B-box and SPRY domain containing(BSPRY),Homo sapiens,
ENSG00000171791,BCL2 apoptosis regulator(BCL2),Homo sapiens,
ENSG00000087088,"BCL2 associated X, apoptosis regulator(BAX)",Homo sapiens,
ENSG00000105327,BCL2 binding component 3(BBC3),Homo sapiens,
ENSG00000113734,BCL2 interacting protein 1(BNIP1),Homo sapiens,
ENSG00000198183,BPI fold containing family A member 1(BPIFA1),Homo sapiens,
ENSG00000172724,C-C motif chemokine ligand 19(CCL19),Homo sapiens,
ENSG00000108691,C-C motif chemokine ligand 2(CCL2),Homo sapiens,
ENSG00000137077,C-C motif chemokine ligand 21(CCL21),Homo sapiens,
ENSG00000108700,C-C motif chemokine ligand 8(CCL8),Homo sapiens,
ENSG00000163823,C-C motif chemokine receptor 1(CCR1),Homo sapiens,
ENSG00000160791,C-C motif chemokine receptor 5(CCR5),Homo sapiens,
ENSG00000126353,C-C motif chemokine receptor 7(CCR7),Homo sapiens,
ENSG00000169245,C-X-C motif chemokine ligand 10(CXCL10),Homo sapiens,
ENSG00000169248,C-X-C motif chemokine ligand 11(CXCL11),Homo sapiens,
ENSG00000107562,C-X-C motif chemokine ligand 12(CXCL12),Homo sapiens,
ENSG00000138755,C-X-C motif chemokine ligand 9(CXCL9),Homo sapiens,
ENSG00000186810,C-X-C motif chemokine receptor 3(CXCR3),Homo sapiens,
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens,
ENSG00000006210,C-X3-C motif chemokine ligand 1(CX3CL1),Homo sapiens,
ENSG00000099625,CACN subunit beta associated regulatory protein(CBARP),Homo sapiens,
ENSG00000177455,CD19 molecule(CD19),Homo sapiens,
ENSG00000105383,CD33 molecule(CD33),Homo sapiens,
ENSG00000010610,CD4 molecule(CD4),Homo sapiens,
ENSG00000135404,CD63 molecule(CD63),Homo sapiens,
ENSG00000066294,CD84 molecule(CD84),Homo sapiens,
ENSG00000166664,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion(CHRFAM7A),Homo sapiens,
ENSG00000153721,CNKSR family member 3(CNKSR3),Homo sapiens,
ENSG00000148444,COMM domain containing 3(COMMD3),Homo sapiens,
ENSG00000110442,COMM domain containing 9(COMMD9),Homo sapiens,
ENSG00000269897,COMMD3-BMI1 readthrough(COMMD3-BMI1),Homo sapiens,
ENSG00000104936,DM1 protein kinase(DMPK),Homo sapiens,
ENSG00000175197,DNA damage inducible transcript 3(DDIT3),Homo sapiens,
ENSG00000163576,EF-hand domain family member B(EFHB),Homo sapiens,
ENSG00000013016,EH domain containing 3(EHD3),Homo sapiens,
ENSG00000112425,"EPM2A glucan phosphatase, laforin(EPM2A)",Homo sapiens,
ENSG00000127533,F2R like thrombin or trypsin receptor 3(F2RL3),Homo sapiens,
ENSG00000088832,FKBP prolyl isomerase 1A(FKBP1A),Homo sapiens,
ENSG00000119782,FKBP prolyl isomerase 1B(FKBP1B),Homo sapiens,
ENSG00000004478,FKBP prolyl isomerase 4(FKBP4),Homo sapiens,
ENSG00000198225,FKBP prolyl isomerase family member 1C(FKBP1C),Homo sapiens,
ENSG00000266964,FXYD domain containing ion transport regulator 1(FXYD1),Homo sapiens,
ENSG00000137731,FXYD domain containing ion transport regulator 2(FXYD2),Homo sapiens,
ENSG00000089356,FXYD domain containing ion transport regulator 3(FXYD3),Homo sapiens,
ENSG00000150201,FXYD domain containing ion transport regulator 4(FXYD4),Homo sapiens,
ENSG00000089327,FXYD domain containing ion transport regulator 5(FXYD5),Homo sapiens,
ENSG00000137726,FXYD domain containing ion transport regulator 6(FXYD6),Homo sapiens,
