ID,Gene Name,Species,
ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR),Homo sapiens,
ENSG00000102468,5-hydroxytryptamine receptor 2A(HTR2A),Homo sapiens,
ENSG00000166736,5-hydroxytryptamine receptor 3A(HTR3A),Homo sapiens,
ENSG00000149305,5-hydroxytryptamine receptor 3B(HTR3B),Homo sapiens,
ENSG00000178084,5-hydroxytryptamine receptor 3C(HTR3C),Homo sapiens,
ENSG00000186090,5-hydroxytryptamine receptor 3D(HTR3D),Homo sapiens,
ENSG00000186038,5-hydroxytryptamine receptor 3E(HTR3E),Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000104755,ADAM metallopeptidase domain 2(ADAM2),Homo sapiens,
ENSG00000168374,ADP ribosylation factor 4(ARF4),Homo sapiens,
ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5),Homo sapiens,
ENSG00000113966,ADP ribosylation factor like GTPase 6(ARL6),Homo sapiens,
ENSG00000155966,ALF transcription elongation factor 2(AFF2),Homo sapiens,
ENSG00000198691,ATP binding cassette subfamily A member 4(ABCA4),Homo sapiens,
ENSG00000064687,ATP binding cassette subfamily A member 7(ABCA7),Homo sapiens,
ENSG00000091262,ATP binding cassette subfamily C member 6(ABCC6),Homo sapiens,
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens,
ENSG00000150756,ATP synthase c subunit lysine N-methyltransferase(ATPSCKMT),Homo sapiens,
ENSG00000135049,ATP/GTP binding carboxypeptidase 1(AGTPBP1),Homo sapiens,
ENSG00000105929,ATPase H+ transporting V0 subunit a4(ATP6V0A4),Homo sapiens,
ENSG00000116039,ATPase H+ transporting V1 subunit B1(ATP6V1B1),Homo sapiens,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,
ENSG00000138138,ATPase family AAA domain containing 1(ATAD1),Homo sapiens,
ENSG00000124406,ATPase phospholipid transporting 8A1(ATP8A1),Homo sapiens,
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens,
ENSG00000081923,ATPase phospholipid transporting 8B1(ATP8B1),Homo sapiens,
ENSG00000157087,ATPase plasma membrane Ca2+ transporting 2(ATP2B2),Homo sapiens,
ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase(BRAF)",Homo sapiens,
ENSG00000186716,BCR activator of RhoGEF and GTPase(BCR),Homo sapiens,
ENSG00000078725,BMP/retinoic acid inducible neural specific 1(BRINP1),Homo sapiens,
ENSG00000160469,BR serine/threonine kinase 1(BRSK1),Homo sapiens,
ENSG00000183826,BTB domain containing 9(BTBD9),Homo sapiens,
ENSG00000159388,BTG anti-proliferation factor 2(BTG2),Homo sapiens,
ENSG00000125492,BarH like homeobox 1(BARHL1),Homo sapiens,
ENSG00000174483,Bardet-Biedl syndrome 1(BBS1),Homo sapiens,
ENSG00000179941,Bardet-Biedl syndrome 10(BBS10),Homo sapiens,
ENSG00000125124,Bardet-Biedl syndrome 2(BBS2),Homo sapiens,
ENSG00000140463,Bardet-Biedl syndrome 4(BBS4),Homo sapiens,
ENSG00000163093,Bardet-Biedl syndrome 5(BBS5),Homo sapiens,
ENSG00000138686,Bardet-Biedl syndrome 7(BBS7),Homo sapiens,
ENSG00000122507,Bardet-Biedl syndrome 9(BBS9),Homo sapiens,
ENSG00000172156,C-C motif chemokine ligand 11(CCL11),Homo sapiens,
ENSG00000108691,C-C motif chemokine ligand 2(CCL2),Homo sapiens,
ENSG00000121807,C-C motif chemokine receptor 2(CCR2),Homo sapiens,
ENSG00000107562,C-X-C motif chemokine ligand 12(CXCL12),Homo sapiens,
ENSG00000121966,C-X-C motif chemokine receptor 4(CXCR4),Homo sapiens,
ENSG00000168329,C-X3-C motif chemokine receptor 1(CX3CR1),Homo sapiens,
ENSG00000164326,CART prepropeptide(CARTPT),Homo sapiens,
ENSG00000172216,CCAAT enhancer binding protein beta(CEBPB),Homo sapiens,
ENSG00000135218,CD36 molecule(CD36),Homo sapiens,
ENSG00000213892,"CEA cell adhesion molecule 16, tectorial membrane component(CEACAM16)",Homo sapiens,
ENSG00000188419,CHM Rab escort protein(CHM),Homo sapiens,
ENSG00000166664,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion(CHRFAM7A),Homo sapiens,
ENSG00000188603,"CLN3 lysosomal/endosomal transmembrane protein, battenin(CLN3)",Homo sapiens,
ENSG00000102805,CLN5 intracellular trafficking protein(CLN5),Homo sapiens,
ENSG00000128973,CLN6 transmembrane ER protein(CLN6),Homo sapiens,
ENSG00000182372,CLN8 transmembrane ER and ERGIC protein(CLN8),Homo sapiens,
ENSG00000105662,CREB regulated transcription coactivator 1(CRTC1),Homo sapiens,
ENSG00000183117,CUB and Sushi multiple domains 1(CSMD1),Homo sapiens,
ENSG00000085788,DDHD domain containing 2(DDHD2),Homo sapiens,
ENSG00000175197,DNA damage inducible transcript 3(DDIT3),Homo sapiens,
ENSG00000156171,DNA damage regulated autophagy modulator 2(DRAM2),Homo sapiens,
ENSG00000142197,DOP1 leucine zipper like protein B(DOP1B),Homo sapiens,
ENSG00000070413,DiGeorge syndrome critical region gene 2(DGCR2),Homo sapiens,
ENSG00000205981,DnaJ heat shock protein family (Hsp40) member C19(DNAJC19),Homo sapiens,
ENSG00000100393,E1A binding protein p300(EP300),Homo sapiens,
ENSG00000115380,EGF containing fibulin extracellular matrix protein 1(EFEMP1),Homo sapiens,
ENSG00000162374,ELAV like RNA binding protein 4(ELAVL4),Homo sapiens,
ENSG00000125746,EMAP like 2(EML2),Homo sapiens,
ENSG00000154928,EPH receptor B1(EPHB1),Homo sapiens,
ENSG00000133216,EPH receptor B2(EPHB2),Homo sapiens,
ENSG00000112425,"EPM2A glucan phosphatase, laforin(EPM2A)",Homo sapiens,
ENSG00000177106,EPS8 signaling adaptor L2(EPS8L2),Homo sapiens,
ENSG00000104313,EYA transcriptional coactivator and phosphatase 1(EYA1),Homo sapiens,
ENSG00000158161,EYA transcriptional coactivator and phosphatase 3(EYA3),Homo sapiens,
ENSG00000112319,EYA transcriptional coactivator and phosphatase 4(EYA4),Homo sapiens,
ENSG00000138081,F-box protein 11(FBXO11),Homo sapiens,
ENSG00000170264,FAM161 centrosomal protein A(FAM161A),Homo sapiens,
ENSG00000112367,FIG4 phosphoinositide 5-phosphatase(FIG4),Homo sapiens,
ENSG00000119782,FKBP prolyl isomerase 1B(FKBP1B),Homo sapiens,
ENSG00000175592,"FOS like 1, AP-1 transcription factor subunit(FOSL1)",Homo sapiens,
ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase(FYN)",Homo sapiens,
ENSG00000170345,"Fos proto-oncogene, AP-1 transcription factor subunit(FOS)",Homo sapiens,
ENSG00000169258,G protein regulated inducer of neurite outgrowth 1(GPRIN1),Homo sapiens,
ENSG00000141404,G protein subunit alpha L(GNAL),Homo sapiens,
ENSG00000114349,G protein subunit alpha transducin 1(GNAT1),Homo sapiens,
ENSG00000134183,G protein subunit alpha transducin 2(GNAT2),Homo sapiens,
ENSG00000214415,G protein subunit alpha transducin 3(GNAT3),Homo sapiens,
ENSG00000078369,G protein subunit beta 1(GNB1),Homo sapiens,
ENSG00000127588,G protein subunit gamma 13(GNG13),Homo sapiens,
ENSG00000164850,G protein-coupled estrogen receptor 1(GPER1),Homo sapiens,
ENSG00000101850,G protein-coupled receptor 143(GPR143),Homo sapiens,
ENSG00000173302,G protein-coupled receptor 148(GPR148),Homo sapiens,
ENSG00000163328,G protein-coupled receptor 155(GPR155),Homo sapiens,
ENSG00000151025,G protein-coupled receptor 158(GPR158),Homo sapiens,
ENSG00000174946,G protein-coupled receptor 171(GPR171),Homo sapiens,
ENSG00000178623,G protein-coupled receptor 35(GPR35),Homo sapiens,
ENSG00000181656,G protein-coupled receptor 88(GPR88),Homo sapiens,
ENSG00000198908,G protein-coupled receptor associated sorting protein family member 3(GPRASP3),Homo sapiens,
ENSG00000185974,G protein-coupled receptor kinase 1(GRK1),Homo sapiens,
ENSG00000114124,G protein-coupled receptor kinase 7(GRK7),Homo sapiens,
ENSG00000108262,GIT ArfGAP 1(GIT1),Homo sapiens,
ENSG00000087460,GNAS complex locus(GNAS),Homo sapiens,
ENSG00000204120,GRB10 interacting GYF protein 2(GIGYF2),Homo sapiens,
ENSG00000189152,GRB2 related adaptor protein like(GRAPL),Homo sapiens,
ENSG00000154016,GRB2 related adaptor protein(GRAP),Homo sapiens,
ENSG00000180613,GS homeobox 2(GSX2),Homo sapiens,
ENSG00000131979,GTP cyclohydrolase 1(GCH1),Homo sapiens,
ENSG00000260234,H3BQ33_HUMAN,Homo sapiens,
ENSG00000188620,H6 family homeobox 3(HMX3),Homo sapiens,
ENSG00000103657,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1),Homo sapiens,
ENSG00000107521,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1(HPS1),Homo sapiens,
ENSG00000157404,"KIT proto-oncogene, receptor tyrosine kinase(KIT)",Homo sapiens,
ENSG00000133703,"KRAS proto-oncogene, GTPase(KRAS)",Homo sapiens,
ENSG00000133424,LARGE xylosyl- and glucuronyltransferase 1(LARGE1),Homo sapiens,
ENSG00000081479,LDL receptor related protein 2(LRP2),Homo sapiens,
ENSG00000187416,LHFPL tetraspan subfamily member 3(LHFPL3),Homo sapiens,
ENSG00000156959,LHFPL tetraspan subfamily member 4(LHFPL4),Homo sapiens,
ENSG00000197753,LHFPL tetraspan subfamily member 5(LHFPL5),Homo sapiens,
ENSG00000162624,LIM homeobox 8(LHX8),Homo sapiens,
ENSG00000162761,LIM homeobox transcription factor 1 alpha(LMX1A),Homo sapiens,
ENSG00000152939,MARVEL domain containing 2(MARVELD2),Homo sapiens,
ENSG00000183695,MAS related GPR family member X2(MRGPRX2),Homo sapiens,
ENSG00000168389,"MFSD2 lysolipid transporter A, lysophospholipid(MFSD2A)",Homo sapiens,
ENSG00000125863,MKKS centrosomal shuttling protein(MKKS),Homo sapiens,
ENSG00000005810,MYC binding protein 2(MYCBP2),Homo sapiens,
ENSG00000134138,Meis homeobox 2(MEIS2),Homo sapiens,
ENSG00000157045,N-terminal asparagine amidase(NTAN1),Homo sapiens,
ENSG00000147684,NADH:ubiquinone oxidoreductase subunit B9(NDUFB9),Homo sapiens,
ENSG00000103034,NDRG family member 4(NDRG4),Homo sapiens,
ENSG00000109062,NHERF family PDZ scaffold protein 1(NHERF1),Homo sapiens,
ENSG00000141101,NIN1 (RPN12) binding protein 1 homolog(NOB1),Homo sapiens,
ENSG00000164190,NIPBL cohesin loading factor(NIPBL),Homo sapiens,
ENSG00000235608,NK1 homeobox 1(NKX1-1),Homo sapiens,
ENSG00000148826,NK6 homeobox 2(NKX6-2),Homo sapiens,
ENSG00000130305,NOP2/Sun RNA methyltransferase 5(NSUN5),Homo sapiens,
ENSG00000198836,OPA1 mitochondrial dynamin like GTPase(OPA1),Homo sapiens,
ENSG00000167081,PBX homeobox 3(PBX3),Homo sapiens,
ENSG00000186862,PDZ domain containing 7(PDZD7),Homo sapiens,
ENSG00000122733,PHD finger protein 24(PHF24),Homo sapiens,
ENSG00000205038,PKHD1 like 1(PKHD1L1),Homo sapiens,
ENSG00000127838,PNKD metallo-beta-lactamase domain containing(PNKD),Homo sapiens,
ENSG00000196767,POU class 3 homeobox 4(POU3F4),Homo sapiens,
ENSG00000152192,POU class 4 homeobox 1(POU4F1),Homo sapiens,
ENSG00000151615,POU class 4 homeobox 2(POU4F2),Homo sapiens,
ENSG00000091010,POU class 4 homeobox 3(POU4F3),Homo sapiens,
ENSG00000106536,POU class 6 homeobox 2(POU6F2),Homo sapiens,
ENSG00000130711,PR/SET domain 12(PRDM12),Homo sapiens,
ENSG00000212127,PRH1-TAS2R14 readthrough(PRH1-TAS2R14),Homo sapiens,
ENSG00000105649,"RAB3A, member RAS oncogene family(RAB3A)",Homo sapiens,
ENSG00000198963,RAR related orphan receptor B(RORB),Homo sapiens,
