ID,Gene Name,Species,
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens,
ENSG00000166736,5-hydroxytryptamine receptor 3A(HTR3A),Homo sapiens,
ENSG00000149305,5-hydroxytryptamine receptor 3B(HTR3B),Homo sapiens,
ENSG00000178084,5-hydroxytryptamine receptor 3C(HTR3C),Homo sapiens,
ENSG00000186090,5-hydroxytryptamine receptor 3D(HTR3D),Homo sapiens,
ENSG00000186038,5-hydroxytryptamine receptor 3E(HTR3E),Homo sapiens,
ENSG00000151320,A-kinase anchoring protein 6(AKAP6),Homo sapiens,
ENSG00000118507,A-kinase anchoring protein 7(AKAP7),Homo sapiens,
ENSG00000127914,A-kinase anchoring protein 9(AKAP9),Homo sapiens,
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens,
ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5),Homo sapiens,
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens,
ENSG00000105221,AKT serine/threonine kinase 2(AKT2),Homo sapiens,
ENSG00000004846,ATP binding cassette subfamily B member 5(ABCB5),Homo sapiens,
ENSG00000069431,ATP binding cassette subfamily C member 9(ABCC9),Homo sapiens,
ENSG00000101986,ATP binding cassette subfamily D member 1(ABCD1),Homo sapiens,
ENSG00000130770,ATP synthase inhibitory factor subunit 1(ATP5IF1),Homo sapiens,
ENSG00000163399,ATPase Na+/K+ transporting subunit alpha 1(ATP1A1),Homo sapiens,
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens,
ENSG00000105409,ATPase Na+/K+ transporting subunit alpha 3(ATP1A3),Homo sapiens,
ENSG00000132681,ATPase Na+/K+ transporting subunit alpha 4(ATP1A4),Homo sapiens,
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1),Homo sapiens,
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens,
ENSG00000069849,ATPase Na+/K+ transporting subunit beta 3(ATP1B3),Homo sapiens,
ENSG00000174437,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2),Homo sapiens,
ENSG00000175866,BAR/IMD domain containing adaptor protein 2(BAIAP2),Homo sapiens,
ENSG00000171791,BCL2 apoptosis regulator(BCL2),Homo sapiens,
ENSG00000087088,"BCL2 associated X, apoptosis regulator(BAX)",Homo sapiens,
